,usdc_amount,sol_amount,depositor,time_deposited,txn_status,shdw_tokens_recieved
0,0.0,0.0,,2022-01-04 19:58:41,failure,0.0
1,0.0,0.0,,2022-01-04 19:58:28,failure,0.0
2,0.0,0.0,,2022-01-04 19:58:14,failure,0.0
3,0.0,0.0,,2022-01-04 19:58:01,failure,0.0
4,0.0,0.0,,2022-01-04 19:55:27,failure,0.0
5,0.0,0.0,,2022-01-04 19:55:04,failure,0.0
6,0.0,0.0,,2022-01-04 19:54:26,failure,0.0
7,0.0,0.0,,2022-01-04 19:53:43,failure,0.0
8,0.0,0.0,,2022-01-04 19:53:18,failure,0.0
9,0.0,0.0,,2022-01-04 19:31:18,failure,0.0
10,0.0,0.0,,2022-01-04 19:30:52,failure,0.0
11,0.0,0.0,,2022-01-04 19:30:45,failure,0.0
12,0.0,0.0,,2022-01-04 19:30:34,failure,0.0
13,0.0,0.0,,2022-01-04 19:30:34,failure,0.0
14,0.0,0.0,,2022-01-04 19:30:24,failure,0.0
15,0.0,0.0,,2022-01-04 19:30:16,failure,0.0
16,0.0,0.0,,2022-01-04 19:30:15,failure,0.0
17,0.0,0.0,,2022-01-04 19:30:10,failure,0.0
18,0.0,0.0,,2022-01-04 19:30:08,failure,0.0
19,0.0,0.0,,2022-01-04 19:30:08,failure,0.0
20,0.0,0.0,,2022-01-04 19:30:07,failure,0.0
21,0.0,0.0,,2022-01-04 19:30:06,failure,0.0
22,0.0,0.0,,2022-01-04 19:30:06,failure,0.0
23,0.0,0.0,,2022-01-04 19:30:05,failure,0.0
24,0.0,0.0,,2022-01-04 19:30:05,failure,0.0
25,0.0,0.0,,2022-01-04 19:30:05,failure,0.0
26,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
27,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
28,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
29,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
30,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
31,0.0,0.0,,2022-01-04 19:30:03,failure,0.0
32,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
33,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
34,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
35,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
36,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
37,0.0,0.0,,2022-01-04 19:30:02,failure,0.0
